ReadID	SampleName	SampleID	ReadLength	ReadAvgQualScore
GSXD9VZ02JC2G2	10_D_B02_2010_12_17_2	10_D_B02	498	32
GSXD9VZ02GKPOI	10_D_B02_2010_12_17_2	10_D_B02	495	36
GSXD9VZ02IXGWG	10_D_B02_2010_12_17_2	10_D_B02	515	31
GSXD9VZ02H1DSI	10_D_B02_2010_12_17_2	10_D_B02	515	37
GSXD9VZ02ICNF2	10_D_B02_2010_12_17_2	10_D_B02	495	36
GSXD9VZ02GHE5Q	10_D_B02_2010_12_17_2	10_D_B02	397	34
GSXD9VZ02JR5PG	10_D_B02_2010_12_17_2	10_D_B02	499	36
GSXD9VZ02JNMAK	10_D_B02_2010_12_17_2	10_D_B02	200	33
GSXD9VZ02H3JVW	10_D_B02_2010_12_17_2	10_D_B02	501	37
GSXD9VZ02IKZEO	10_D_B02_2010_12_17_2	10_D_B02	492	36
GSXD9VZ02JPYW0	10_D_B02_2010_12_17_2	10_D_B02	419	32
GSXD9VZ02JM9UB	10_D_B02_2010_12_17_2	10_D_B02	510	36
GSXD9VZ02H6599	10_D_B02_2010_12_17_2	10_D_B02	248	30
GSXD9VZ02IFB60	10_D_B02_2010_12_17_2	10_D_B02	486	37
GSXD9VZ02J2474	10_D_B02_2010_12_17_2	10_D_B02	233	30
GSXD9VZ02HEIWH	10_D_B02_2010_12_17_2	10_D_B02	509	33
GSXD9VZ02JZNE6	10_D_B02_2010_12_17_2	10_D_B02	460	33
GSXD9VZ02JDXI6	10_D_B02_2010_12_17_2	10_D_B02	514	37
GSXD9VZ02HRTSI	10_D_B02_2010_12_17_2	10_D_B02	507	37
GSXD9VZ02GKZOV	10_D_B02_2010_12_17_2	10_D_B02	481	36
GSXD9VZ02HTUW6	10_D_B02_2010_12_17_2	10_D_B02	484	36
GSXD9VZ02HME2Y	10_D_B02_2010_12_17_2	10_D_B02	538	34
GSXD9VZ02H8T8M	10_D_B02_2010_12_17_2	10_D_B02	480	36
GSXD9VZ02HF87J	10_D_B02_2010_12_17_2	10_D_B02	514	35
GSXD9VZ02H7F4R	10_D_B02_2010_12_17_2	10_D_B02	495	35
GSXD9VZ02JDNVK	10_D_B02_2010_12_17_2	10_D_B02	500	37
GSXD9VZ02I3D2H	10_D_B02_2010_12_17_2	10_D_B02	510	37
GSXD9VZ02G8X9Z	10_D_B02_2010_12_17_2	10_D_B02	483	35
GSXD9VZ02GLMBW	10_D_B02_2010_12_17_2	10_D_B02	514	35
GSXD9VZ02IMGE0	10_D_B02_2010_12_17_2	10_D_B02	477	34
GSXD9VZ02G4O1B	10_D_B02_2010_12_17_2	10_D_B02	364	34
GSXD9VZ02FYBSX	10_D_B02_2010_12_17_2	10_D_B02	515	37
GSXD9VZ02GDGQU	10_D_B02_2010_12_17_2	10_D_B02	502	36
GSXD9VZ02HK8SA	10_D_B02_2010_12_17_2	10_D_B02	487	37
GSXD9VZ02GXVWX	10_D_B02_2010_12_17_2	10_D_B02	485	36
GSXD9VZ02GKDR7	10_D_B02_2010_12_17_2	10_D_B02	471	36
GSXD9VZ02H8V6K	10_D_B02_2010_12_17_2	10_D_B02	204	29
GSXD9VZ02IMGYV	10_D_B02_2010_12_17_2	10_D_B02	492	34
GSXD9VZ02IDYYC	10_D_B02_2010_12_17_2	10_D_B02	482	36
GSXD9VZ02I1W54	10_D_B02_2010_12_17_2	10_D_B02	515	33
GSXD9VZ02HOBWT	10_D_B02_2010_12_17_2	10_D_B02	522	33
GSXD9VZ02IK48I	10_D_B02_2010_12_17_2	10_D_B02	515	36
GSXD9VZ02HGXT1	10_D_B02_2010_12_17_2	10_D_B02	490	36
GSXD9VZ02G6PLU	10_D_B02_2010_12_17_2	10_D_B02	341	35
GSXD9VZ02I2R1Z	10_D_B02_2010_12_17_2	10_D_B02	510	37
GSXD9VZ02IK1PU	10_D_B02_2010_12_17_2	10_D_B02	513	36
GSXD9VZ02IKMDV	10_D_B02_2010_12_17_2	10_D_B02	496	31
GSXD9VZ02F0JP1	10_D_B02_2010_12_17_2	10_D_B02	481	37
GSXD9VZ02G9B83	10_D_B02_2010_12_17_2	10_D_B02	495	37
GSXD9VZ02JHQME	10_D_B02_2010_12_17_2	10_D_B02	286	30
GSXD9VZ02G2FST	10_D_B02_2010_12_17_2	10_D_B02	507	35
GSXD9VZ02F2WB2	10_D_B02_2010_12_17_2	10_D_B02	508	36
GSXD9VZ02ISCHD	10_D_B02_2010_12_17_2	10_D_B02	513	36
GSXD9VZ02F0MRX	10_D_B02_2010_12_17_2	10_D_B02	487	37
GSXD9VZ02G747H	10_D_B02_2010_12_17_2	10_D_B02	491	37
GSXD9VZ02HFYMR	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02IZ6IP	10_D_B02_2010_12_17_2	10_D_B02	502	35
GSXD9VZ02ILBI8	10_D_B02_2010_12_17_2	10_D_B02	498	37
GSXD9VZ02IG76F	10_D_B02_2010_12_17_2	10_D_B02	493	35
GSXD9VZ02HD44R	10_D_B02_2010_12_17_2	10_D_B02	520	36
